player,playerId,team,teamId,conference,division,age,position,jersey,height,teams
Isaiah Hartenstein,1628392,LAC,1610612746,west,pacific,23,C-F,55.0,84,LAC.CLE.DEN.HOU
Isaiah Jackson,1630543,IND,1610612754,east,central,20,F,23.0,82,IND
Isaiah Joe,1630198,PHI,1610612755,east,atlantic,22,G,7.0,76,PHI
Isaiah Livers,1630587,DET,1610612765,east,central,23,F,12.0,78,DET
Isaiah Roby,1629676,OKC,1610612760,west,northwest,24,F,22.0,80,OKC
Isaiah Stewart,1630191,DET,1610612765,east,central,20,F-C,28.0,80,DET
Isaiah Todd,1630225,WAS,1610612764,east,southeast,20,F,14.0,81,WAS
Ish Smith,202397,WAS,1610612764,east,southeast,33,G,10.0,72,WAS.CHA.DET.PHI.NOP.OKC.PHX.MIL.ORL.GSW.MEM.HOU
Ish Wainright,1630688,PHX,1610612756,west,pacific,27,F,12.0,77,PHX
Ivica Zubac,1627826,LAC,1610612746,west,pacific,24,C,40.0,84,LAC.LAL
JT Thor,1630550,CHA,1610612766,east,southeast,19,F,21.0,81,CHA
Ja Morant,1629630,MEM,1610612763,west,southwest,22,G,12.0,75,MEM
JaMychal Green,203210,DEN,1610612743,west,northwest,31,F-C,0.0,80,DEN.LAC.MEM.SAS
